"tail","tarsus","hoof","horns","ear","head","withers","length","Weight_corr","TestWeight_corr","perifatmass","kmass","kidneyindexcorreg","day","month","groupMonth","year","season","habitat","habitatidx1","habitatidx2","northSouth","sex","classage1","pregnant","sexgroup","sexualstate","weight","lengthtotail","testLength","pesotes","kidneyindex","logkfi","raizkfi","method","embryoLength","embryoWeight"
"6.4","13.5",2,"1.3","4.4","10.2","28.4",42,"1.54",0,0,6,0,10,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","1.54","48.4","0.7",0,0,0,0,"Trap",0,0
7,"15.3","2.6","2.9","4.8",13,"31.9",53,"3.67",0,0,"14.9",0,11,12,"Nov-Dec (Dry2)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.67",60,"NA","NA",0,0,0,"Trap",0,0
8,"14.5","2.3","2.9","4.5","13.1",31,54,"3.31",0,0,"14.5",0,11,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.41",62,"NA","NA",0,0,0,"Trap","6.8",11
"8.5","15.9","2.4","2.9","4.9","13.4","35.5","57.9","3.94",0,0,"13.6",0,11,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.94","66.4","NA","NA",0,0,0,"Trap",0,0
6,"15.4","2.4","3.3","4.7","12.8",32,51,"3.64","5.9","1.5","9.4",16,11,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.64",57,"2.8","5.9",16,"1.2",4,"Gun",0,0
"6.2","13.7","2.1","3.4","4.3","11.4",28,"48.4","2.63",1,0,"6.2",0,13,12,"Nov-Dec (Dry2)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Yong","No preñada (lac o inact)","NA","NA","2.63","54.6","1.8",1,0,0,0,"Trap",0,0
"9.2","15.2","2.4","1.6","4.7","11.1","30.8","50.3","2.96",0,"1.2","6.3",19,13,12,"Nov-Dec (Dry2)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.96","59.5","NA","NA",19,"1.3","4.4","Gun",0,0
"7.9","15.1","2.2","3.1","4.3","14.8","29.3","53.6","3.73",0,"1.1","12.4","8.9",13,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Hembra","Adult/subadult","Preñada","lactating","Lact / Lact+embryo","3.73","61.5","NA","NA","8.9",1,3,"NA",0,0
"6.7","16.2","2.4","4.5","4.7","13.1","31.8","54.5","3.25","6.3",0,"8.3",0,13,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.25","61.2",3,"6.3",0,0,0,"Gun",0,0
"6.3","14.5","2.1","3.5","4.4","12.2","31.3","50.1","2.65","0.8","1.8","6.8",26,13,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.65","56.4","1.5","0.8","NA","NA","NA","Gun",0,0
"8.3","15.4","2.4","3.7","4.4","12.3","33.1","53.8","3.63","6.9","0.8","17.1","4.9",13,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.63","62.1",3,"6.9","NA","NA","NA","Gun",0,0
"9.3","15.7","2.4","3.2","4.2","12.5","31.7","51.4","3.25","5.3","2.1","10.3","20.4",14,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"NA","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.25","60.7",3,"5.3","20.4","1.3","4.5","Trap",0,0
"9.2","14.7","2.5","3.2","4.8","12.9","32.9","57.2","3.65",0,"2.7","11.6","27.9",14,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"NA","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.76","66.4","NA","NA","NA","NA","NA","Gun",0,0
7,"15.3","2.1",3,"4.6","12.3","31.7","52.3","3.22",0,"8.2","8.7","94.3",14,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"NA","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.22","NA","NA","NA","94.3",2,"9.7","Trap",0,0
"7.1","16.7","1.9","2.5","3.6",12,"31.2","58.7","3.74",0,"5.9","10.9","54.1",17,12,"Nov-Dec (Dry2)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.74","65.8","NA","NA","54.1","1.7","7.4","Trap",0,0
"7.1","14.5","2.4","5.3","4.5","12.1","29.7","54.2","3.22","6.8",0,"8.3",0,17,12,"Nov-Dec (Dry2)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.22","61.3",3,"6.8",0,0,0,"Trap",0,0
"9.8",16,"2.5","2.7","4.7","13.5","34.3",53,"3.93",0,"2.5","10.1","24.8",18,12,"Nov-Dec (Dry2)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.3","62.8","NA","NA","24.8","1.4",5,"Trap",21,179
9,"14.5","2.2","2.5","4.6","12.2","29.7","51.5","2.99",0,"3.1","9.9","31.3",18,12,"Nov-Dec (Dry2)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.99","60.5","NA","NA","31.3","1.5","5.6","Trap",0,0
7,"15.3","2.5","3.1","4.5","12.2","32.3","52.2","3.07",0,0,"8.4",0,18,12,"Nov-Dec (Dry2)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.07","59.2","NA","NA",0,0,0,"Trap",0,0
8,"15.9","2.6","3.3","4.7","12.8",32,52,"2.96",0,"1.7",8,"21.6",18,12,"Nov-Dec (Dry2)","NA","Dry","NA",99,99,"South","Macho","Adult/subadult","NA","Male (adult)","NA","2.96",60,"NA","NA","NA","NA","NA","Trap",0,0
"7.9",15,"2.3","3.4","4.7","12.7","32.4",52,"3.31","6.1","1.3","12.1","10.3",18,12,"Nov-Dec (Dry2)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.31","59.9",3,"6.1","NA","NA","NA","Trap",0,0
8,"15.5","2.5","2.9","4.8","12.3","34.5",53,"3.03",0,"0.5","2.5",20,19,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.03",61,"NA","NA",20,"1.3","4.5","Trap",0,0
10,"14.5","2.4","3.8","4.3","13.7",30,34,"3.09","3.7","0.3","2.2","13.6",19,12,"Nov-Dec (Dry2)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.09",44,"2.2","3.7","13.6","1.2","3.7","Trap",0,0
"5.7","14.3","2.1","2.8",5,"13.5",28,"61.5","4.5",0,0,"12.6",0,9,1,"Jan-Feb (Dry1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","4.5","67.2","NA","NA",0,0,0,"Trap",0,0
8,"14.6","2.4","5.1","4.7",13,"31.9",57,"3.74","5.9","7.8","13.5","57.8",10,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","NA",65,"2.7","5.9","57.8","1.8","7.6","Trap",0,0
9,"15.5","2.4","2.9","3.7","13.1",34,59,"3.75",0,"5.2","11.4","45.6",10,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.45",68,"NA","NA","45.6","1.7","6.8","Trap",28,"510.6"
8,"15.9","2.4",3,"4.6","13.1","33.5",58,"3.45",0,0,"13.1",0,10,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.45",66,"NA","NA",0,0,0,"Trap",0,0
8,"15.4","2.1","3.8","4.4","12.6","31.5",52,"2.82",0,"1.4","11.6","12.1",10,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.82",60,"NA","NA","12.1","1.1","3.5","Trap",0,0
"7.5","15.5","2.2",4,"4.4","12.6",29,52,"2.93","3.4","1.9","12.2","15.6",16,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.93","59.5","2.4","3.4","15.6","1.2","3.9","NA",0,0
"7.5",16,"2.5","3.5","4.6","13.3","32.5",51,"3.56","5.1","1.3","8.7","14.9",16,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.56","58.5","2.7","5.1","14.9","1.2","3.9","Trap",0,0
7,15,"2.5","2.9","4.1","12.6",31,53,3,0,0,"9.7",0,16,1,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","3.66",60,"NA","NA",0,0,0,"Trap","NA",99
"6.1","13.5","2.1","4.8","4.6","12.1","27.4","51.2","2.64","7.5","3.5","7.2","48.6",22,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.64","57.3","3.2","7.5","48.6","1.7",7,"Gun",0,0
"8.3","14.8","2.1","1.8","4.3","11.5","26.9","50.5","2.51",0,0,"2.6",0,22,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","2.51","58.8","0.8",0,0,0,0,"Gun",0,0
"8.7","16.2","2.4","4.3","4.7","12.6","28.4","57.9","3.58","8.5","1.2","10.2","11.8",22,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.58","66.6","3.1","8.5","11.8","1.1","3.4","Gun",0,0
"7.6","15.5","2.5","3.5","4.6",12,"31.7","52.4","3.02",0,"2.1","8.7","24.1",24,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.02",60,"NA","NA","24.1","1.4","4.9","Gun",0,0
"7.3","15.2","2.2","0.8","4.8","11.4","30.1","50.7","2.42","0.2","1.2","6.3",19,24,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","2.42",58,"0.9","0.2",19,"1.3","4.4","Gun",0,0
"6.8",16,"2.2","1.7","4.6","10.5","31.3","46.4","1.97","0.2","0.5","8.6","5.8",24,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","1.97","53.2","1.1","0.2","5.8","0.8","2.4","Gun",0,0
"9.3","14.7","2.1","0.6","4.8",11,"29.4","48.4","2.22",0,"0.5","1.4","35.7",24,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.22","57.7","NA","NA","35.7","1.6",6,"Gun",0,0
"7.5","15.4","2.3","2.6","5.1","10.6","29.3","47.8","2.78","0.3",1,"6.5","15.4",24,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","2.78","55.3","1.2","0.3","15.4","1.2","3.9","Gun",0,0
10,"15.3","2.5","3.7","4.8",13,"28.9",58,"3.14","2.8","1.3","6.4","20.3",27,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.14",68,"2.9","2.8","20.3","1.3","4.5","Trap",0,0
7,"15.4","2.4","4.7","4.8","12.9","32.5",50,"3.16",3,0,"7.4",0,29,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"NA","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.16",57,"1.9",3,0,0,0,"Gun",0,0
9,15,"2.6","2.6","4.7","13.5",33,54,"3.53",0,0,"11.5",0,29,1,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.53",63,"NA","NA",0,0,0,"Trap",0,0
"8.3",16,"2.4","5.1","4.7",13,32,"54.7","4.04","4.3",0,"12.4",0,29,1,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","4.04",63,"NA","NA","NA","NA","NA","Trap",0,0
7,"14.5","2.5",3,4,"12.8","30.3",53,"2.76",0,"1.1","9.4","11.7",29,1,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.76",60,"NA","NA","11.7","1.1","3.4","Trap",0,0
"8.3","16.1","2.6","3.6","4.2","13.2","31.7","50.3","3.3",0,0,"11.8",0,29,1,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.3","58.6","NA","NA",0,0,0,"Trap",0,0
"6.8",15,"2.4","3.4","4.3","12.3","30.4",52,"2.77","6.9","0.8","7.6","10.5",30,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.77","58.8","2.9","6.9","10.5","1.1","3.2","Trap",0,0
7,15,"2.5","4.5","4.5","12.5","31.5",54,"3.25","5.8","1.7","9.3","18.3",30,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.25",61,"2.6","5.8","18.3","1.3","4.3","Trap",0,0
"8.3","15.6","2.3",3,"4.5","12.2","27.5","56.1","3.41",0,"0.8","8.2","9.8",30,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.41","64.4","NA","NA","9.8",1,"3.1","Gun",0,0
8,16,"2.4","3.9","4.8","12.5",32,54,"3.58","6.7",4,"7.9","50.6",30,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.58",62,3,"6.7","50.6","1.7","7.1","Trap",0,0
"7.8","14.7","2.3","4.2","4.9","12.2","31.2","52.3","3.18",6,2,"7.7",26,30,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.18","60.1","2.7",6,26,"1.4","5.1","Trap",0,0
"7.6","15.4","2.2","3.1","4.9","12.5","30.3",51,"3.21","0.9","1.5","10.9","13.8",31,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","3.21","58.6","1.7","0.9","13.8","1.2","3.7","Gun",0,0
"9.6","15.1","2.3","3.1","4.6","12.7","33.5","54.5","3.4",0,"4.2",10,42,31,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.4","64.1","NA","NA",42,"1.6","6.5","Gun",0,0
"9.6","15.6","2.5","3.1","4.9","13.5","31.9","54.7","3.42",0,2,"7.7",26,31,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.42","64.3","NA","NA",26,"1.4","5.1","Trap",0,0
"6.9","15.5","2.3","4.4","4.6","12.4","29.7","56.4","3.89","2.8","3.7",8,"46.3",31,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.89","63.3","2.8","2.8","46.3","1.7","6.8","Trap",0,0
"9.7","15.2","2.2","3.4","4.7","12.7",31,"57.2","3.17",0,0,"6.7",0,31,1,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.17","66.9","NA","NA",0,0,0,"Trap",0,0
11,16,"2.4","3.6","5.4","14.5",32,64,"3.57",0,0,"6.7",0,3,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.57",75,"NA","NA",0,0,0,"Trap",0,0
7,"15.3","2.3","4.1","4.1","12.5","29.8","53.1","3.04","4.8","1.4","8.7","16.1",7,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.04","60.1","2.2","4.8","16.1","1.2",4,"Trap",0,0
"7.2","15.7","2.1","2.2","4.8","11.8","28.3","51.4","2.88","0.6","1.1","5.7","19.3",7,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"South","Macho","Yong","No preñada (lac o inact)","NA","NA","2.88","58.6","1.3","0.6","19.3","1.3","4.4","Trap",0,0
8,"14.6","2.3","3.6","4.3","12.6","30.7",54,"3.07",0,"0.5","8.8","5.7",7,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.07",62,"NA","NA","5.7","0.8","2.4","Trap",0,0
7,"15.5","2.5","2.5","4.8","11.9","35.2",52,"2.53",0,0,"9.2",0,7,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.53","NA","NA","NA",0,0,0,"Trap",0,0
"9.5","15.6","2.6","2.6","4.6","13.4","35.1","59.8","4.09",0,"5.8","13.4","43.3",7,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.25","69.3","NA","NA","43.3","1.6","6.6","Trap","10.9","51.8"
6,"14.1","2.4","2.9","4.6","12.6","34.5",54,"2.62","5.5",0,"8.9",0,7,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.62",60,"2.9","5.5",0,0,0,"Trap",0,0
"8.7","15.3","2.2",3,"4.9","11.9","31.2","44.9","2.65",0,"0.8","7.1","11.3",11,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.65","NA","NA","NA","11.3","1.1","3.4","Trap",0,0
"8.6","15.4","2.1","4.3",5,"12.2","34.4","54.8","3.41","8.5",0,"9.9",0,11,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.41","63.4","3.1","8.5",0,0,0,"Trap",0,0
"7.9","15.5","2.2","3.8","4.5","12.7",36,"51.9","3.01",0,0,"9.3",0,11,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","NA","NA","NA","3.01","59.8","NA","NA",0,0,0,"Trap",0,0
8,"15.5","2.4","5.1","4.9","13.3","23.5",54,"3.75","3.8","3.1","9.5","32.6",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.75",62,"2.2","3.8","32.6","1.5","5.7","Gun",0,0
8,"16.5","2.4","3.3","4.2","13.9",35,61,"4.49",0,"3.2","13.9","27.9",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","4.57",69,"NA","NA","NA","NA","NA","Gun","7.1",14
9,"15.6","2.6","3.7","4.7","13.7","32.2",57,"3.73",0,"0.2","10.7","1.9",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","lactating","Lact / Lact+embryo","3.8",66,"NA","NA","1.9","0.5","1.4","Gun",7,15
8,"14.9","2.3","2.8","4.8",13,"32.5",52,"3.28",0,2,"9.2","21.7",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.28",60,"NA","NA","21.7","1.4","4.7","Gun",0,0
8,"15.7","2.3","3.3","4.5","13.6","33.5",57,"3.98",0,"3.3","11.1","29.7",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo",4,65,"NA","NA","29.7","1.5","5.5","Gun","1.3",0
8,"15.7","2.8","4.4","4.3","12.9","35.5",56,"3.59","5.9","1.2","10.4","11.5",12,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.59",64,3,"5.9","11.5","1.1","3.4","Trap",0,0
8,"15.9","2.4","2.6","4.5","13.9","34.5",56,"4.06",0,"0.9","11.1","8.1",12,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.75",64,"NA","NA","8.1",1,"2.8","Gun","24.9","520.8"
9,"15.5","2.4","3.2","4.4","13.1",32,53,"3.25",0,0,"13.8",0,14,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.25",62,"NA","NA",0,0,0,"Trap",0,0
8,"15.5","2.4","3.5","4.3","13.3",33,55,"3.12",0,"1.4","18.5","7.6",14,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","3.53",63,"NA","NA","7.6","0.9","2.8","Trap",22,264
8,"15.5","2.5","3.9","4.5","13.1",35,56,"3.3","8.2","1.8","14.3","15.6",15,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.3",64,"3.3","8.2","NA","NA","NA","Trap",0,0
7,"14.9","2.4","3.7","4.6","13.2",32,55,"3.06","5.8",0,"7.3","5.4",15,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.06",62,"2.9","5.8","NA","NA","NA","Trap",0,0
"7.6","16.1","2.5","3.2","4.9","13.8","32.9","59.1","4.16",0,"1.7","10.7","15.9",17,2,"Jan-Feb (Dry1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.43","66.7","NA","NA","15.9","1.2",4,"Trap","16.7","199.1"
"7.7","14.7","2.6",3,"4.7","11.9","30.4","49.2","3.02",0,"3.8","8.8","43.2",17,2,"Jan-Feb (Dry1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.04","56.9","NA","NA","43.2","1.6","6.6","Trap","3.7","2.1"
"7.5","13.5",2,"3.4","4.2","12.3","28.5","57.3","3.2","7.1",0,"9.1",0,18,2,"Jan-Feb (Dry1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.2","64.8",3,"7.1",0,0,0,"Trap",0,0
"7.3",15,"2.2","4.2","4.6",13,35,55,"3.49","7.7",0,"11.5",0,19,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.49","62.3","NA","NA",0,0,0,"Trap",0,0
"7.5","14.3","2.2","3.5","4.3","13.3",35,55,"2.89",0,"3.1","7.7","40.3",19,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.89","62.5","NA","NA","40.3","1.6","6.3","Trap",0,0
"6.7","14.2","2.2","2.9","4.5","13.9",35,54,"2.97",0,0,"11.5",0,19,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.97","60.7","NA","NA",0,0,0,"Trap",0,0
"5.5",13,2,"0.4","4.5","11.7","22.3",46,"1.74",0,"0.5","4.8","12.2",20,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"NA","Hembra","Yong","No preñada (lac o inact)","NA","NA","1.74","51.5","NA","NA","NA","NA","NA","Gun",0,0
5,"12.9","1.9",0,"4.5",9,"25.5",35,"1.01",0,"0.3",4,"10.9",20,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"NA","Hembra","Yong","No preñada (lac o inact)","NA","NA","1.01",40,"NA","NA","NA","NA","NA","Gun",0,0
8,"13.8","2.4","2.8","4.9","11.3","28.5",51,"2.22","0.3",0,"8.1",0,21,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Yong","NA","NA","NA","2.22",59,"1.6","0.3",0,0,0,"Trap",0,0
"9.5","14.5","2.4","3.6","4.8","13.7","31.5",52,"3.46",0,"1.3","12.4","10.5",21,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.46","61.5","NA","NA","10.5","1.1","3.2","Trap",0,0
